DraftYr,Round,Pk,Tm,Player,College,CollegeYrs,Salary,Championships,Career,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2006,2,54,NJN,Hassan Adams,University of Arizona,4,"$412,718.00 ",0,2,73,547,185,84,14,0.534,0,0.643,7.5,2.5,1.2,0.2,0.8,0.072,-4.4,-0.3
2006,2,50,CHA,Ryan Hollins,University of California Los Angeles,4,"$8,876,610.00 ",0,10,518,6134,1913,1140,151,0.584,0,0.649,11.8,3.7,2.2,0.3,10.4,0.081,-2.6,-1
2006,2,31,POR,James White,University of Cincinnati,4,"$2,240,586.00 ",1,3,67,583,182,68,35,0.438,0.34,0.676,8.7,2.7,1,0.5,0.8,0.062,-3.4,-0.2
2006,1,12,NOK,Hilton Armstrong,University of Connecticut,4,"$10,308,102.00 ",0,6,292,3378,880,766,102,0.501,0.286,0.582,11.6,3,2.6,0.3,3.9,0.055,-2.8,-0.7
2006,2,40,SEA,Denham Brown,University of Connecticut,4,$0.00 ,0,0,,,,,,,,,,,,,,,,
2006,2,41,ORL,James Augustine,University of Illinois at Urbana-Champaign,4,"$412,718.00 ",0,2,27,156,42,33,4,0.514,,0.5,5.8,1.6,1.2,0.1,0.3,0.101,-2.2,0
2006,2,46,UTA,Dee Brown,University of Illinois at Urbana-Champaign,4,$0.00 ,0,2,68,711,140,69,119,0.34,0.25,0.643,10.5,2.1,1,1.8,0.1,0.008,-4.1,-0.4
2006,1,16,CHI,Rodney Carney,University of Memphis,4,"$4,643,280.00 ",0,5,299,4600,1778,588,132,0.422,0.338,0.704,15.4,5.9,2,0.4,6.2,0.064,-2.7,-0.8
2006,1,17,IND,Shawne Williams,University of Memphis,4,"$14,325,132.00 ",0,7,314,5368,1769,945,220,0.403,0.339,0.755,17.1,5.6,3,0.7,6.7,0.06,-2,0
2006,2,39,MIL,David Noel,University of North Carolina,4,"$412,718.00 ",0,1,68,792,184,123,65,0.367,0.321,0.86,11.6,2.7,1.8,1,0.4,0.024,-3.4,-0.3
2006,1,6,MIN,Brandon Roy,University of Washington,4,"$46,295,950.00 ",0,6,326,11561,6136,1388,1517,0.459,0.348,0.8,35.5,18.8,4.3,4.7,37.4,0.155,3.2,15.2
2006,2,37,MIN,Bobby Jones,University of Washington,4,"$436,981.00 ",0,2,91,867,288,149,44,0.442,0.306,0.685,9.5,3.2,1.6,0.5,1.1,0.06,-3.5,-0.3
2006,1,7,BOS,Randy Foye,Villanova University,4,"$31,106,401.00 ",0,11,752,19279,7729,1686,2112,0.401,0.366,0.852,25.6,10.3,2.2,2.8,23.5,0.058,-1.3,3.4
2007,1,12,PHI,Thaddeus Young,Georgia Institute of Technology,1,"$70,614,937.00 ",0,10,739,22594,10065,4364,1134,0.5,0.327,0.679,30.6,13.6,5.9,1.5,47.3,0.1,0.4,13.6
2007,1,19,LAL,Javaris Crittenton,Georgia Institute of Technology,1,"$6,707,847.00 ",0,2,113,1853,595,276,201,0.442,0.231,0.638,16.4,5.3,2.4,1.8,0.1,0.002,-4.3,-1.1
2007,1,1,POR,Greg Oden,Ohio State University,1,"$24,795,444.00 ",0,3,105,2028,840,656,51,0.574,,0.658,19.3,8,6.2,0.5,7.3,0.174,1.1,1.6
2007,1,4,MEM,Mike Conley,Ohio State University,1,"$83,344,617.00 ",0,10,706,22985,10050,2061,4011,0.443,0.379,0.815,32.6,14.2,2.9,5.7,62.8,0.131,1.9,22.5
2007,1,21,PHI,Daequan Cook,Ohio State University,1,"$9,843,768.00 ",0,6,328,5993,2114,703,243,0.369,0.359,0.813,18.3,6.4,2.1,0.7,4.9,0.039,-3.6,-2.4
2007,1,8,CHA,Brandan Wright,University of North Carolina,1,"$33,972,324.00 ",0,9,400,6568,2837,1465,186,0.608,0,0.676,16.4,7.1,3.7,0.5,24.9,0.182,1.7,6.1
2007,1,2,SEA,Kevin Durant,University of Texas at Austin,1,"$114,003,114.00 ",1,10,703,26278,19121,5031,2663,0.488,0.379,0.882,37.4,27.2,7.2,3.8,119.8,0.219,5.1,47
2007,1,10,SAC,Spencer Hawes,University of Washington,1,"$44,331,297.00 ",0,10,684,15541,5932,3893,1271,0.457,0.35,0.716,22.7,8.7,5.7,1.9,22.6,0.07,-0.7,5
2007,1,23,NYK,Wilson Chandler,DePaul University,2,"$51,882,781.00 ",0,9,516,16030,7215,2816,925,0.445,0.339,0.769,31.1,14,5.5,1.8,23.5,0.07,-0.7,5.2
2007,2,37,POR,Josh McRoberts,Duke University,2,"$18,717,621.00 ",0,10,431,8265,2333,1686,901,0.464,0.341,0.705,19.2,5.4,3.9,2.1,18.5,0.107,1,6.2
2007,1,15,DET,Rodney Stuckey,Eastern Washington University,2,"$48,898,686.00 ",0,10,651,17890,8185,1912,2333,0.423,0.3,0.824,27.5,12.6,2.9,3.6,28.7,0.077,-1.4,2.7
2007,1,13,NOK,Julian Wright,University of Kansas,2,"$14,182,971.00 ",0,4,231,3049,907,531,182,0.499,0.262,0.584,13.2,3.9,2.3,0.8,3.9,0.061,-1.3,0.5
2007,1,17,NJN,Sean Williams,Boston College,3,"$6,247,726.00 ",0,4,137,1978,581,472,47,0.511,0,0.624,14.4,4.2,3.4,0.3,3,0.073,-2,0
2007,2,47,WAS,Dominic McGuire,California State University Fresno,3,"$1,418,666.00 ",0,6,342,5348,939,1169,422,0.419,0.188,0.658,15.6,2.7,3.4,1.2,4.1,0.037,-1.6,0.6
2007,1,20,MIA,Jason Smith,Colorado State University,3,"$27,478,833.00 ",0,9,563,9554,3599,1970,425,0.473,0.366,0.777,17,6.4,3.5,0.8,13.9,0.07,-2.5,-1.3
2007,1,5,BOS,Jeff Green,Georgetown University,3,"$72,767,976.00 ",0,9,705,21894,9528,3320,1135,0.435,0.333,0.792,31.1,13.5,4.7,1.6,32.7,0.072,-1.3,3.9
2007,2,35,SEA,Glen Davis,Louisiana State University,3,"$19,127,171.00 ",1,8,514,10865,4111,2236,457,0.447,0.182,0.7,21.1,8,4.4,0.9,18.6,0.082,-2.3,-0.8
2007,2,51,CHI,JamesOn Curry,Oklahoma State University,3,"$427,163.00 ",0,1,1,0,0,0,0,,,,0,0,0,0,0,,,0
2007,2,31,SEA,Carl Landry,Purdue University,3,"$37,500,000.00 ",0,9,513,11524,5541,2533,355,0.535,0.3,0.785,22.5,10.8,4.9,0.7,35.9,0.149,-1.1,2.6
2007,2,33,SAS,Marcus Williams,University of Arizona,3,"$5,241,848.00 ",0,2,13,39,14,12,3,0.318,,,3,1.1,0.9,0.2,-0.1,-0.084,-7.5,-0.1
2007,1,27,DET,Arron Afflalo,University of California Los Angeles,3,"$33,950,297.00 ",0,10,709,20147,8019,2110,1356,0.451,0.386,0.825,28.4,11.3,3,1.9,33.3,0.079,-1,5.2
2007,1,3,ATL,Al Horford,University of Florida,3,"$80,560,600.00 ",0,10,646,21535,9240,5609,1926,0.528,0.346,0.748,33.3,14.3,8.7,3,70.5,0.157,3,27.2
2007,1,7,MIN,Corey Brewer,University of Florida,3,"$46,434,527.00 ",1,10,711,17038,6561,2049,1144,0.424,0.283,0.713,24,9.2,2.9,1.6,19.2,0.054,-1,4.2
2007,1,9,CHI,Joakim Noah,University of Florida,3,"$87,315,096.00 ",0,10,618,17863,5557,5790,1807,0.49,0,0.699,28.9,9,9.4,2.9,59.6,0.16,4.2,27.8
2007,2,52,POR,Taurean Green,University of Florida,3,"$427,163.00 ",0,1,17,74,27,10,11,0.28,0.182,0.917,4.4,1.6,0.6,0.6,-0.1,-0.066,-8.2,-0.1
2007,2,56,MIL,Ramon Sessions,University of Nevada Reno,3,"$33,290,105.00 ",0,10,663,15727,7005,1802,2730,0.436,0.316,0.792,23.7,10.6,2.7,4.1,28.5,0.087,-1.8,0.8
2007,1,16,WAS,Nick Young,University of Southern California,3,"$33,499,809.00 ",0,10,636,14989,7604,1301,649,0.419,0.376,0.835,23.6,12,2,1,16.9,0.054,-3.4,-5.2
2007,2,32,BOS,Gabe Pruitt,University of Southern California,3,"$2,300,994.00 ",1,2,62,461,125,51,52,0.321,0.283,0.783,7.4,2,0.8,0.8,0.4,0.043,-3.1,-0.1
2007,1,22,CHA,Jared Dudley,Boston College,4,"$37,663,028.00 ",0,10,740,17766,6120,2527,1200,0.468,0.397,0.732,24,8.3,3.4,1.6,39.5,0.107,1.3,14.7
2007,2,57,DET,Sammy Mejia,DePaul University,4,"$427,163.00 ",0,0,,,,,,,,,,,,,,,,
2007,1,14,LAC,Al Thornton,Florida State University,4,"$5,961,972.00 ",0,4,296,8274,3527,1233,353,0.452,0.293,0.747,28,11.9,4.2,1.2,6.1,0.035,-3.5,-3.1
2007,2,45,LAC,Jared Jordan,Marist College,4,$0.00 ,0,0,,,,,,,,,,,,,,,,
2007,2,55,UTA,Herbert Hill,Providence College,4,$0.00 ,0,0,,,,,,,,,,,,,,,,
2007,1,25,UTA,Morris Almond,Rice University,4,"$2,238,986.00 ",0,3,38,361,119,46,12,0.381,0.292,0.743,9.5,3.1,1.2,0.3,0,0.005,-6.4,-0.4
2007,2,53,POR,Demetris Nichols,Syracuse University,4,"$427,163.00 ",0,2,18,58,22,7,2,0.281,0.2,0.5,3.2,1.2,0.4,0.1,-0.2,-0.203,-15.3,-0.2
2007,1,11,ATL,Acie Law,Texas A&M University,4,"$8,114,679.00 ",0,4,188,2385,725,195,309,0.413,0.235,0.778,12.7,3.9,1,1.6,1.6,0.032,-5.4,-2
2007,2,36,GSW,Jermareo Davidson,University of Alabama,4,"$422,725.00 ",0,2,52,433,162,96,14,0.425,,0.578,8.3,3.1,1.8,0.3,0,0,-7.6,-0.6
2007,2,41,MIN,Chris Richard,University of Florida,4,"$1,072,788.00 ",0,2,70,780,135,194,25,0.483,,0.605,11.1,1.9,2.8,0.4,0.7,0.045,-3.5,-0.3
2007,2,43,NOK,Adam Haluska,University of Iowa,4,$0.00 ,0,0,,,,,,,,,,,,,,,,
2007,2,59,PHO,D.J. Strawberry,University of Maryland,4,"$711,517.00 ",0,1,33,270,73,28,30,0.315,0.24,0.474,8.2,2.2,0.8,0.9,-0.2,-0.031,-5.1,-0.2
2007,2,46,GSW,Stephane Lasme,University of Massachusetts Amherst,4,"$67,844.00 ",0,1,16,303,83,53,3,0.451,,0.594,18.9,5.2,3.3,0.2,0.3,0.041,-2.8,-0.1
2007,2,34,DAL,Nick Fazekas,University of Nevada Reno,4,"$125,636.00 ",0,1,26,269,107,89,11,0.561,0,0.682,10.3,4.1,3.4,0.4,0.8,0.148,-0.1,0.1
2007,2,44,ORL,Reyshawn Terry,University of North Carolina,4,$0.00 ,0,0,,,,,,,,,,,,,,,,
2007,1,26,HOU,Aaron Brooks,University of Oregon,4,"$14,520,184.00 ",0,9,613,13250,6184,1062,1905,0.413,0.37,0.839,21.6,10.1,1.7,3.1,19.1,0.069,-1.7,0.9
2007,2,49,CHI,Aaron Gray,University of Pittsburgh,4,"$9,234,714.00 ",0,7,318,3851,1066,1190,207,0.509,0,0.562,12.1,3.4,3.7,0.7,6.2,0.077,-1.8,0.2
2007,2,42,POR,Derrick Byars,Vanderbilt University,4,"$1,769,565.00 ",0,1,2,37,10,11,1,0.273,0,1,18.5,5,5.5,0.5,0.1,0.147,0.6,0
2007,1,29,PHO,Alando Tucker,University of Wisconsin,5,"$6,220,680.00 ",0,3,51,426,211,49,16,0.423,0.294,0.783,8.4,4.1,1,0.3,0.4,0.045,-6.7,-0.5
2008,1,7,LAC,Eric Gordon,Indiana University,1,"$69,373,121.00 ",0,9,492,16471,8151,1251,1559,0.431,0.38,0.816,33.5,16.6,2.5,3.2,26.3,0.077,-0.6,5.7
2008,2,55,POR,Mike Taylor,Iowa State University,1,"$2,709,260.00 ",0,1,51,771,289,87,106,0.412,0.325,0.691,15.1,5.7,1.7,2.1,-0.4,-0.028,-5.5,-0.7
2008,1,2,MIA,Michael Beasley,Kansas State University,1,"$28,083,725.00 ",0,9,509,11973,6411,2387,640,0.458,0.347,0.758,23.5,12.6,4.7,1.3,12.9,0.052,-3.5,-4.4
2008,1,14,GSW,Anthony Randolph,Louisiana State University,1,"$13,673,791.00 ",0,6,252,3841,1789,1078,187,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072,-2.1,-0.1
2008,1,19,CLE,JJ Hickson,North Carolina State University,1,"$21,446,925.00 ",0,8,534,11925,5081,3639,449,0.505,0,0.617,22.3,9.5,6.8,0.8,21.9,0.088,-2.3,-0.9
2008,1,23,UTA,Kosta Koufos,Ohio State University,1,"$30,639,212.00 ",0,9,573,9378,3280,2803,236,0.532,0,0.605,16.4,5.7,4.9,0.4,23.7,0.121,-1,2.4
2008,1,28,MEM,Donte Greene,Syracuse University,1,"$5,969,828.00 ",0,4,253,4259,1541,600,183,0.406,0.304,0.701,16.8,6.1,2.4,0.7,1.5,0.017,-3.8,-2
2008,2,35,LAC,DeAndre Jordan,Texas A&M University,1,"$44,779,047.00 ",0,9,673,18621,6151,6817,440,0.677,0.091,0.43,27.7,9.1,10.1,0.7,66.9,0.173,2.2,19.6
2008,1,11,IND,Jerryd Bayless,University of Arizona,1,"$31,030,604.00 ",0,9,513,10904,4393,1093,1501,0.414,0.366,0.825,21.3,8.6,2.1,2.9,17.6,0.078,-1.7,0.7
2008,1,5,MEM,Kevin Love,University of California Los Angeles,1,"$99,749,095.00 ",1,9,576,18774,10593,6612,1368,0.442,0.364,0.82,32.6,18.4,11.5,2.4,70.6,0.18,3,23.5
2008,1,1,CHI,Derrick Rose,University of Memphis,1,"$118,091,716.00 ",0,8,470,16292,9155,1735,2799,0.451,0.298,0.82,34.7,19.5,3.7,6,34.4,0.101,0.6,10.6
2008,1,3,MIN,O.J. Mayo,University of Southern California,1,"$38,149,437.00 ",0,8,547,16919,7574,1706,1607,0.429,0.373,0.82,30.9,13.8,3.1,2.9,21.8,0.062,-0.8,5.1
2008,2,47,WAS,Bill Walker,Kansas State University,2,$0.00 ,0,5,181,3016,1079,401,153,0.446,0.369,0.76,16.7,6,2.2,0.8,5,0.079,-1.3,0.5
2008,1,10,NJN,Brook Lopez,Stanford University,2,"$60,398,230.00 ",0,9,562,18118,10444,4005,867,0.506,0.328,0.794,32.2,18.6,7.1,1.5,49.6,0.131,0.9,13.2
2008,1,15,PHO,Robin Lopez,Stanford University,2,"$50,896,695.00 ",0,9,628,14353,5483,3469,429,0.526,0,0.761,22.9,8.7,5.5,0.7,38.3,0.128,0.5,8.9
2008,2,39,CHI,Sonny Weems,University of Arkansas,2,"$3,992,534.00 ",0,4,183,3335,1189,402,257,0.465,0.283,0.702,18.2,6.5,2.2,1.4,0,0.001,-4.2,-1.9
2008,1,21,NJN,Ryan Anderson,University of California,2,"$58,931,325.00 ",0,9,556,14708,7316,3021,505,0.422,0.381,0.861,26.5,13.2,5.4,0.9,42.2,0.138,0.8,10.4
2008,1,4,SEA,Russell Westbrook,University of California Los Angeles,2,"$78,200,548.00 ",0,9,668,22786,15156,4149,5293,0.433,0.313,0.823,34.1,22.7,6.2,7.9,80.1,0.169,6.5,48.5
2008,1,16,PHI,Marreese Speights,University of Florida,2,"$24,272,206.00 ",1,9,653,9965,5190,2742,421,0.464,0.349,0.8,15.3,7.9,4.2,0.6,25.2,0.121,-2.8,-2.1
2008,1,27,NOH,Darrell Arthur,University of Kansas,2,"$25,757,663.00 ",0,8,484,8804,3228,1753,400,0.444,0.352,0.766,18.2,6.7,3.6,0.8,12.4,0.067,-1.8,0.4
2008,1,18,WAS,JaVale McGee,University of Nevada Reno,2,"$41,626,895.00 ",1,9,493,8716,3866,2484,155,0.554,0.111,0.575,17.7,7.8,5,0.3,23.2,0.128,-0.7,2.9
2008,1,9,CHA,D.J. Augustin,University of Texas at Austin,2,"$23,969,285.00 ",0,9,651,15390,6214,1158,2491,0.402,0.371,0.862,23.6,9.5,1.8,3.8,30.9,0.096,-1.7,1.2
2008,2,49,GSW,Richard Hendrix,University of Alabama,3,$0.00 ,0,0,,,,,,,,,,,,,,,,
2008,2,32,SEA,Walter Sharpe,University of Alabama at Birmingham,3,"$2,209,260.00 ",0,1,8,20,8,3,0,0.364,0,0,2.5,1,0.4,0,-0.1,-0.131,-16.5,-0.1
